# Normalized
#       		No SafeiTimer					SafeTimer
50	0.123	0.119	0.127		0.420	0.389	0.451      
100     0.120	0.118	0.122		0.383	0.362	0.404
500     0.122	0.121	0.123		0.371	0.365	0.377	
1000    0.123	0.122	0.124		0.368	0.363	0.373
