# Normalized
#       		No SafeiTimer					SafeTimer
8      12.72           12.57           12.87           12.51           12.42           12.60
64     101.96          100.10          103.82          99.04           95.96           102.13	
4K     1160.17         1158.63         1161.71         1159.5          1158.32         1160.68    
64K    1165.75         1165.72         1165.78         1165.77         1165.73         1165.81
