# Unit: Mb/s
#	50p		95p		99p		Average
#32    	0.23		0.2	    	0.26		0.16
#64      0.48		-0.04		-1.36		-1.71
#128     1.32            3.85		-1.69		-0.85
#256     0               3.47		2.13		-2.24

#	            idle                             safetimer
#8B     mean        min         max         mean        min         max
#"  52%"     79.13       77.13       81.13       79.11       78.59       79.63       
#"  89%"     1555.26     1463.43     1647.09     1511.29     1314.53     1708.05
#64B    mean        min         max         mean        min         max
#"  46%"     93.14       92.59       93.69       93.61       93.24       93.98  
#"  89%"     1593.96     1327.51     1860.41     1715.576    1546.17     1884.98
#4KB    mean        min         max         mean        min         max
#"  48%"     206.45      204.71      208.19      208.19      203.26      208.34
#"  90%"     239.6       238.19      241.01      239.44      238.13      240.75
#64KB   mean        min         max         mean        min         max
light     508.36      496.09      520.63      514.54      504.75      524.33
"  heavy"     743.46      731.87      755.05      738.6       724.11      753.09
